FIA_NAME	INVENTORY_NAME	COMMENT	FIA	INV	REF_SPP_COMMENTS
Anaptychia palmulata	Anaptychia palmulata	SAME	2	20	
Bulbothrix coronata	Bulbothrix coronata	"OUT OF RANGE, MISIDENTIFICATION!"	3	0	
Candelaria concolor	Candelaria concolor	SAME	15	33	
Candelaria fibrosa	Candelaria fibrosa	SAME	1	0	
Canoparmelia	Canoparmelia	LIKELY MISIDENTIFICATION	1	0	
Cetraria oakesiana	Usnocetraria oakesiana	NAME CHANGE	36	0	"Cetraria oakesiana was re-named to 1012 Usnocetraria oakesiana (Thell et al. 2009), then re-named back to Cetraria oakesiana (Divakar et al. 2017)."
Cetrelia olivetorum	Cetrelia olivetorum	SAME	1	12	
Cladonia	Cladonia	SAME	1	0	
Cladonia caespiticia	Cladonia caespiticia	SAME	4	20	
Cladonia chlorophaea	Cladonia chlorophaea	SAME	8	29	
Cladonia clavulifera	Cladonia clavulifera	LIKELY MISIDENTIFICATION	1	0	
Cladonia coniocraea	Cladonia coniocraea	SAME	63	3	
Cladonia cristatella	Cladonia cristatella	SAME	3	18	
Cladonia cylindrica	Cladonia cylindrica	SAME	5	5	
Cladonia decorticata	Cladonia decorticata	LIKELY MISIDENTIFICATION	1	0	
Cladonia didyma	Cladonia didyma	SAME	1	2	
Cladonia furcata	Cladonia furcata	SAME	1	47	
Cladonia macilenta	Cladonia macilenta	SAME	32	70	
Cladonia parasitica	Cladonia parasitica	SAME	7	52	
Cladonia peziziformis	Cladonia peziziformis	SAME	1	7	
Cladonia pleurota	Cladonia pleurota	SAME	1	34	
Cladonia pyxidata	Cladonia pyxidata	SAME	1	12	
Cladonia ramulosa	Cladonia ramulosa	SAME	3	20	
Cladonia rei	Cladonia rei	SAME	1	25	
Cladonia squamosa	Cladonia squamosa	SAME	1	62	
Evernia mesomorpha	Evernia mesomorpha	SAME	4	14	
Flavoparmelia	Flavoparmelia	SAME	5	0	
Flavoparmelia baltimorensis	Flavoparmelia baltimorensis	SAME	1	60	
Flavoparmelia caperata	Flavoparmelia caperata	SAME	115	146	
Flavopunctelia flaventior	Flavopunctelia flaventior	SAME	5	8	
