"yrplotid","MEASYEAR","STATECD","COUNTYCD","PLOT","LICH_SPPCD","ABUNDANCE_CLASS","taxon_change"
"1999_42_9_4824",1999,42,9,4824,1012,2,NA
"1999_42_9_4824",1999,42,9,4824,1225,2,"REF_FIA"
"1999_42_9_4824",1999,42,9,4824,2601,3,NA
"1999_42_9_4824",1999,42,9,4824,3301,2,NA
"1999_42_9_4824",1999,42,9,4824,4806,3,NA
"1999_42_9_4824",1999,42,9,4824,6713,3,"REF_FIA"
"1999_42_15_6238",1999,42,15,6238,1012,3,NA
"1999_42_15_6238",1999,42,15,6238,2704,3,NA
"1999_42_15_6238",1999,42,15,6238,4806,2,NA
"1999_42_15_6238",1999,42,15,6238,5716,3,NA
"1999_42_15_6238",1999,42,15,6238,5723,3,NA
"1999_42_15_6238",1999,42,15,6238,5801,3,NA
"1999_42_15_6238",1999,42,15,6238,6705,1,NA
"1999_42_19_5567",1999,42,19,5567,2601,2,NA
"1999_42_19_5567",1999,42,19,5567,5716,2,NA
"1999_42_19_5567",1999,42,19,5567,6708,1,NA
"1999_42_23_6271",1999,42,23,6271,1211,3,NA
"1999_42_23_6271",1999,42,23,6271,4806,3,NA
"1999_42_23_6271",1999,42,23,6271,6713,3,"REF_FIA"
"1999_42_27_5531",1999,42,27,5531,1244,1,NA
"1999_42_27_5531",1999,42,27,5531,2403,1,NA
"1999_42_27_5531",1999,42,27,5531,2601,2,NA
"1999_42_27_5531",1999,42,27,5531,4806,2,NA
"1999_42_27_5531",1999,42,27,5531,5614,1,NA
"1999_42_27_5531",1999,42,27,5531,6713,2,"REF_FIA"
"1999_42_33_6262",1999,42,33,6262,1211,2,NA
"1999_42_33_6262",1999,42,33,6262,1212,2,NA
"1999_42_33_6262",1999,42,33,6262,1236,1,NA
"1999_42_33_6262",1999,42,33,6262,3116,2,NA
"1999_42_33_6262",1999,42,33,6262,4806,3,NA
"1999_42_33_6262",1999,42,33,6262,6713,3,"REF_FIA"
"1999_42_37_6227",1999,42,37,6227,4201,3,NA
"1999_42_37_6227",1999,42,37,6227,4806,3,NA
"1999_42_37_6227",1999,42,37,6227,5614,3,NA
"1999_42_37_6227",1999,42,37,6227,5716,3,NA
"1999_42_47_6269",1999,42,47,6269,1225,3,"REF_FIA"
"1999_42_47_6269",1999,42,47,6269,2601,3,NA
"1999_42_47_6269",1999,42,47,6269,4806,2,NA
"1999_42_47_6264",1999,42,47,6264,1012,1,NA
"1999_42_47_6264",1999,42,47,6264,1211,1,NA
"1999_42_47_6264",1999,42,47,6264,2601,2,NA
"1999_42_47_6264",1999,42,47,6264,3116,2,NA
