"yrplotid","MEASYEAR","STATECD","COUNTYCD","PLOT","LICH_SPPCD","ABUNDANCE_CLASS","taxon_change","LON","LAT","Binomial"
"1999_42_9_4824",1999,42,9,4824,1012,2,NA,-78.532092,39.830643,"Usnocetraria oakesiana"
"1999_42_9_4824",1999,42,9,4824,1225,2,"REF_FIA",-78.532092,39.830643,"Cladonia macilenta"
"1999_42_9_4824",1999,42,9,4824,2601,3,NA,-78.532092,39.830643,"Flavoparmelia caperata"
"1999_42_9_4824",1999,42,9,4824,3301,2,NA,-78.532092,39.830643,"Imshaugia aleurites"
"1999_42_9_4824",1999,42,9,4824,4806,3,NA,-78.532092,39.830643,"Parmelia sulcata"
"1999_42_9_4824",1999,42,9,4824,6713,3,"REF_FIA",-78.532092,39.830643,"Punctelia caseana"
"1999_42_15_6238",1999,42,15,6238,1012,3,NA,-76.797453,41.64452,"Usnocetraria oakesiana"
"1999_42_15_6238",1999,42,15,6238,2704,3,NA,-76.797453,41.64452,"Flavopunctelia soredica"
"1999_42_15_6238",1999,42,15,6238,4806,2,NA,-76.797453,41.64452,"Parmelia sulcata"
"1999_42_15_6238",1999,42,15,6238,5716,3,NA,-76.797453,41.64452,"Physcia millegrana"
"1999_42_15_6238",1999,42,15,6238,5723,3,NA,-76.797453,41.64452,"Physcia stellaris"
"1999_42_15_6238",1999,42,15,6238,5801,3,NA,-76.797453,41.64452,"Physciella chloantha"
"1999_42_15_6238",1999,42,15,6238,6705,1,NA,-76.797453,41.64452,"Punctelia missouriensis"
"1999_42_19_5567",1999,42,19,5567,2601,2,NA,-79.715197,40.982043,"Flavoparmelia caperata"
"1999_42_19_5567",1999,42,19,5567,5716,2,NA,-79.715197,40.982043,"Physcia millegrana"
"1999_42_19_5567",1999,42,19,5567,6708,1,NA,-79.715197,40.982043,"Punctelia rudecta"
"1999_42_23_6271",1999,42,23,6271,1211,3,NA,-78.172106,41.51727,"Cladonia coniocraea"
"1999_42_23_6271",1999,42,23,6271,4806,3,NA,-78.172106,41.51727,"Parmelia sulcata"
"1999_42_23_6271",1999,42,23,6271,6713,3,"REF_FIA",-78.172106,41.51727,"Punctelia caseana"
"1999_42_27_5531",1999,42,27,5531,1244,1,NA,-77.27127,40.99691,"Cladonia furcata"
"1999_42_27_5531",1999,42,27,5531,2403,1,NA,-77.27127,40.99691,"Evernia mesomorpha"
"1999_42_27_5531",1999,42,27,5531,2601,2,NA,-77.27127,40.99691,"Flavoparmelia caperata"
"1999_42_27_5531",1999,42,27,5531,4806,2,NA,-77.27127,40.99691,"Parmelia sulcata"
"1999_42_27_5531",1999,42,27,5531,5614,1,NA,-77.27127,40.99691,"Phaeophyscia rubropulchra"
"1999_42_27_5531",1999,42,27,5531,6713,2,"REF_FIA",-77.27127,40.99691,"Punctelia caseana"
"1999_42_33_6262",1999,42,33,6262,1211,2,NA,-78.444778,41.09292,"Cladonia coniocraea"
"1999_42_33_6262",1999,42,33,6262,1212,2,NA,-78.444778,41.09292,"Cladonia cristatella"
"1999_42_33_6262",1999,42,33,6262,1236,1,NA,-78.444778,41.09292,"Cladonia squamosa"
"1999_42_33_6262",1999,42,33,6262,3116,2,NA,-78.444778,41.09292,"Hypogymnia physodes"
"1999_42_33_6262",1999,42,33,6262,4806,3,NA,-78.444778,41.09292,"Parmelia sulcata"
"1999_42_33_6262",1999,42,33,6262,6713,3,"REF_FIA",-78.444778,41.09292,"Punctelia caseana"
"1999_42_37_6227",1999,42,37,6227,4201,3,NA,-76.43372,41.241537,"Myelochroa aurulenta"
"1999_42_37_6227",1999,42,37,6227,4806,3,NA,-76.43372,41.241537,"Parmelia sulcata"
"1999_42_37_6227",1999,42,37,6227,5614,3,NA,-76.43372,41.241537,"Phaeophyscia rubropulchra"
"1999_42_37_6227",1999,42,37,6227,5716,3,NA,-76.43372,41.241537,"Physcia millegrana"
"1999_42_47_6269",1999,42,47,6269,1225,3,"REF_FIA",-78.83416,41.482279,"Cladonia macilenta"
"1999_42_47_6269",1999,42,47,6269,2601,3,NA,-78.83416,41.482279,"Flavoparmelia caperata"
"1999_42_47_6269",1999,42,47,6269,4806,2,NA,-78.83416,41.482279,"Parmelia sulcata"
"1999_42_47_6264",1999,42,47,6264,1012,1,NA,-78.29979,41.29843,"Usnocetraria oakesiana"
"1999_42_47_6264",1999,42,47,6264,1211,1,NA,-78.29979,41.29843,"Cladonia coniocraea"
"1999_42_47_6264",1999,42,47,6264,2601,2,NA,-78.29979,41.29843,"Flavoparmelia caperata"
"1999_42_47_6264",1999,42,47,6264,3116,2,NA,-78.29979,41.29843,"Hypogymnia physodes"
"1999_42_47_6264",1999,42,47,6264,4806,3,NA,-78.29979,41.29843,"Parmelia sulcata"
"1999_42_47_6264",1999,42,47,6264,6713,3,"REF_FIA",-78.29979,41.29843,"Punctelia caseana"
"1999_42_61_5543",1999,42,61,5543,1211,3,NA,-78.035269,40.697796,"Cladonia coniocraea"
"1999_42_61_5543",1999,42,61,5543,2601,3,NA,-78.035269,40.697796,"Flavoparmelia caperata"
"1999_42_61_5543",1999,42,61,5543,2822,3,NA,-78.035269,40.697796,"Heterodermia speciosa"
"1999_42_61_5543",1999,42,61,5543,3116,1,NA,-78.035269,40.697796,"Hypogymnia physodes"
"1999_42_61_5543",1999,42,61,5543,4015,3,NA,-78.035269,40.697796,"Melanelixia subaurifera"
"1999_42_61_5543",1999,42,61,5543,4201,3,NA,-78.035269,40.697796,"Myelochroa aurulenta"
"1999_42_61_5543",1999,42,61,5543,4202,3,NA,-78.035269,40.697796,"Myelochroa galbina"
"1999_42_61_5543",1999,42,61,5543,5614,3,NA,-78.035269,40.697796,"Phaeophyscia rubropulchra"
"1999_42_61_5543",1999,42,61,5543,5716,3,NA,-78.035269,40.697796,"Physcia millegrana"
"1999_42_61_5543",1999,42,61,5543,6705,3,NA,-78.035269,40.697796,"Punctelia missouriensis"
"1999_42_61_5543",1999,42,61,5543,6713,2,"REF_FIA",-78.035269,40.697796,"Punctelia caseana"
"1999_42_61_5539",1999,42,61,5539,2601,2,NA,-78.14265,40.45806,"Flavoparmelia caperata"
"1999_42_61_5539",1999,42,61,5539,5614,1,NA,-78.14265,40.45806,"Phaeophyscia rubropulchra"
"1999_42_61_5539",1999,42,61,5539,5716,2,NA,-78.14265,40.45806,"Physcia millegrana"
"1999_42_61_5539",1999,42,61,5539,6708,1,NA,-78.14265,40.45806,"Punctelia rudecta"
"1999_42_73_5580",1999,42,73,5580,1211,1,NA,-80.34242,40.872628,"Cladonia coniocraea"
"1999_42_73_5580",1999,42,73,5580,2601,2,NA,-80.34242,40.872628,"Flavoparmelia caperata"
"1999_42_73_5580",1999,42,73,5580,5323,1,NA,-80.34242,40.872628,"Parmotrema perforatum"
"1999_42_73_5580",1999,42,73,5580,5716,3,NA,-80.34242,40.872628,"Physcia millegrana"
"1999_42_81_6243",1999,42,81,6243,1012,1,NA,-77.095317,41.194572,"Usnocetraria oakesiana"
"1999_42_81_6243",1999,42,81,6243,2601,3,NA,-77.095317,41.194572,"Flavoparmelia caperata"
"1999_42_81_6243",1999,42,81,6243,4806,3,NA,-77.095317,41.194572,"Parmelia sulcata"
"1999_42_81_6243",1999,42,81,6243,5716,3,NA,-77.095317,41.194572,"Physcia millegrana"
"1999_42_81_6243",1999,42,81,6243,6713,3,"REF_FIA",-77.095317,41.194572,"Punctelia caseana"
"1999_42_83_6280",1999,42,83,6280,4806,2,NA,-78.570138,41.949307,"Parmelia sulcata"
"1999_42_83_6280",1999,42,83,6280,6808,2,NA,-78.570138,41.949307,"Pyxine sorediata"
"1999_42_87_5530",1999,42,87,5530,1211,3,NA,-77.445262,40.748892,"Cladonia coniocraea"
"1999_42_87_5530",1999,42,87,5530,2601,3,NA,-77.445262,40.748892,"Flavoparmelia caperata"
