"yrplotid","ppt","vpdmax","tmax","tmean","tot_n","tot_s","LON","LAT","optional"
"2003_42_61_5832",1119.78002929688,9.69999980926514,14.3000001907349,9.31999969482422,123.744868278503,175.660503387451,-78.112609,40.177114,TRUE
"2003_42_23_4610",1127.53002929688,9.67000007629395,13.6999998092651,7.61999988555908,106.650451660156,208.355471611023,-78.316455,41.476915,TRUE
"2003_42_69_5870",1035.55004882812,10.0100002288818,14.6700000762939,9.10000038146973,117.475202560425,115.009413719177,-75.819969,41.421676,TRUE
"2003_42_57_5418",1026.76000976562,12.3599996566772,16.7900009155273,10.7399997711182,123.520557403564,132.049497127533,-78.068499,39.765063,TRUE
"2003_42_81_3290",1158.58996582031,8.01000022888184,12.6099996566772,7.6399998664856,122.064887046814,184.800180435181,-76.791561,41.361027,TRUE
"2003_42_55_3151",1039.77001953125,11.8500003814697,16.9099998474121,11.3599996566772,148.215811729431,162.270182609558,-77.574928,40.010362,TRUE
"2003_42_83_3075",1172.15002441406,8.60000038146973,12.6300001144409,6.90000009536743,112.580851554871,232.056163787842,-78.856085,41.628,TRUE
"2003_42_121_5557",1146.08996582031,9.55000019073486,14.1099996566772,8.60000038146973,118.703032493591,238.50599861145,-79.849722,41.528285,TRUE
"2003_42_33_5479",1080.06005859375,10.1499996185303,14.4899997711182,8.63000011444092,114.499981880188,249.176398277283,-78.247148,41.030423,TRUE
"2003_42_33_3637",1111.76000976562,9.25,13.6400003433228,8.18000030517578,111.328243255615,216.527527809143,-78.770738,41.182619,TRUE
"2003_42_9_5977",976.409973144531,10.6999998092651,15.3999996185303,9.81999969482422,106.550330638885,168.884702682495,-78.556632,39.924869,TRUE
"2003_42_51_4906",1259.43005371094,10.5299997329712,15.4200000762939,9.47999954223633,123.37097454071,333.895445823669,-79.531009,39.827534,TRUE
"2003_42_59_3895",1169.23999023438,12.5,16.9799995422363,9.97000026702881,118.368804454803,248.058230400085,-80.48313,39.721615,TRUE
"2003_42_15_3865",998.25,8.93000030517578,13.3400001525879,7.84000015258789,100.560660839081,125.660577297211,-76.359675,41.599916,TRUE
"2003_42_19_3885",1079.82995605469,10.2799997329712,14.789999961853,9.0600004196167,116.535429000854,221.519902229309,-79.780415,41.098964,TRUE
"2003_42_127_5039",1142.17004394531,8.85000038146973,13.1099996566772,7.51000022888184,104.327788352966,109.678088665009,-75.344239,41.677427,TRUE
"2003_42_5_3303",1129.01000976562,10.3800001144409,14.8900003433228,9.10999965667725,114.215663909912,223.738855361938,-79.231302,40.944683,TRUE
"2003_42_3_2959",957.599975585938,11.4099998474121,16.4699993133545,10.9399995803833,131.975138664246,228.831204414368,-80.117196,40.398578,TRUE
"2003_42_11_3336",1140.34997558594,11.4799995422363,16.8099994659424,11.2600002288818,179.205872535706,155.10749578476,-76.189987,40.352168,TRUE
"2003_42_5_5244",1018.82000732422,11.2700004577637,16.1499996185303,10.3299999237061,115.857141017914,206.812080383301,-79.676381,40.694649,TRUE
"2003_42_43_3545",1256.17004394531,9.43000030517578,14.6700000762939,9.43000030517578,163.077628135681,188.025472640991,-76.706968,40.505765,TRUE
"2003_42_117_4178",1019.51000976562,10.0900001525879,14.1499996185303,7.96000003814697,108.601263046265,185.939251899719,-77.324833,41.562156,TRUE
"2003_42_115_5281",1158.08996582031,8.69999980926514,12.9899997711182,7.44999980926514,119.843553543091,142.498165607452,-75.862353,41.85809,TRUE
"2001_42_87_1010",1078.76000976562,9.61999988555908,14,8.56999969482422,130.694972991943,204.379849433899,-77.70011,40.70391,TRUE
"2000_42_105_472",1100.03002929688,8.90999984741211,12.8299999237061,6.98000001907349,112.838737487793,202.412066459656,-77.63984,41.51313,TRUE
"2000_42_125_1159",987.849975585938,11.2600002288818,16.1700000762939,10.3100004196167,124.473814964294,221.473113059998,-80.15276,40.19994,TRUE
"2000_42_1_1923",1136.32995605469,11.3599996566772,16.1900005340576,10.8900003433228,153.611589431763,176.507755279541,-77.39604,39.82953,TRUE
"2001_42_79_725",1139.40002441406,10,14.7600002288818,9.09000015258789,139.341635704041,183.45977306366,-76.09362,40.98995,TRUE
