"Site_Number","HabHabitat","DarLocality","ppt","vpdmax","tmax","tmean","tot_n","tot_s","optional","L2NAME","S_all","S_epi","S_macro","S_epi_macro"
1,"Stream ravine with hemlocks (Tsuga) and hardwoods (Acer, Betula)","Allegheny National Forest, Bimber Run Rd., Bimber Run 1.5 mi S of Bimber Corners",1141.14001464844,9.64000034332275,13.7799997329712,7.92000007629395,115.50500202179,229.637241363525,TRUE,"ATLANTIC HIGHLANDS",14,11,3,1
2,"Hemlock (Tsuga) - hardwood (Betula, Acer) floodplain","Allegheny National Forest, S of S boundary of Hickory Creek Wilderness Area, below confluence of Camp Run and Middle Hickory Creek, on FS 119",1147.17004394531,9.98999977111816,14.0500001907349,8.01000022888184,116.869468212128,235.948996543884,TRUE,"ATLANTIC HIGHLANDS",18,13,4,0
3,"Open hardwoods (Quercus, Acer) and pine (Pinus)","Allegheny National Forest, Tanbark Trail 0 to 0.7 mi from trailhead on Heart's Content Rd. to boundary with Hickory Creek Wilderness Area",1171.21997070312,8.4399995803833,12.6199998855591,7.17000007629395,118.717856884003,242.797609329224,TRUE,"ATLANTIC HIGHLANDS",31,20,13,10
4,"Mixed hardwoods (Betula, Acer) with Tsuga and large sandstone outcrops in shade","Powdermill Run Nature Preserve, S slopes above Powdermill Run, 1.75-2.5 mi SW of PA381",1309.13000488281,9.34000015258789,14.2799997329712,8.89999961853027,132.03791809082,354.027694702148,TRUE,"OZARK/OUACHITA-APPALACHIAN FORESTS",16,5,5,1
5,"Shaded conifer (Pinus, Tsuga) - hardwood (Acer, Betula, Prunus, Quercus) forest","Cook Forest State Park, Rhododendron/Indian Trail Loop, W-facing slopes above Toms Run",1162.32995605469,10.3900003433228,14.4499998092651,8.3100004196167,117.766618251801,242.43808555603,TRUE,"ATLANTIC HIGHLANDS",43,17,18,4
6,"Shaded conifer (Pinus, Tsuga) forest with old hardwoods (Acer, Betula, Quercus)","Cook Forest State Park, Jacks Hollow Rd. at jct w/ River Rd., N shore of Clarion River",1162.30004882812,10.0600004196167,14.1499996185303,8.14999961853027,117.766618251801,242.43808555603,TRUE,"ATLANTIC HIGHLANDS",24,14,11,2
7,"Ruderal hardwoods (Acer, Populus, Prunus)","Clear Creek State Forest, Maple Creek Tract, 1.25 mi E of jct w/ Forest Rd.",1168.57995605469,9.52000045776367,13.6099996566772,7.76000022888184,114.730136871338,237.928071022034,TRUE,"ATLANTIC HIGHLANDS",9,7,4,3
8,"Pinus stand","Cooks Forest State Park, N shore of the Clarion River, 1.75 mi E of PA 35 on River Rd.",1161.21997070312,10.4700002670288,14.5100002288818,8.39000034332275,116.379746437073,240.497313499451,TRUE,"ATLANTIC HIGHLANDS",21,19,16,14
9,"Open hardwood forest (Acer, Betula, Fraxinus, Prunus, Quercus) with massive sandstone boulders","Allegheny National Forest, just S of Warren/Forest County line, on road from Vandergriff Corners to Minister",1147.83996582031,9.4399995803833,13.3000001907349,7.30000019073486,113.963032245636,237.827881813049,TRUE,"ATLANTIC HIGHLANDS",25,13,11,5
10,"Tsuga forest with open boulderfield and adjacent mixed hardwoods (Acer, Betula, Quercus)","Allegheny National Forest, Dark Hollow Rd. 0.5 mi N of jct w/ River Rd., along Dark Hollow Creek",1153.77001953125,9.67000007629395,13.789999961853,7.96000003814697,115.822994232178,236.736436843872,TRUE,"ATLANTIC HIGHLANDS",29,13,10,2
11,"Riparian Carpinus stand","Allegheny National Forest, FS 131 0.25 mi E of jct w/ FS 592, ~1.75 mi NE of Loleta, N shore of Millstone Creek",1158.89001464844,10.039999961853,14.0900001525879,8.06999969482422,113.81559753418,237.069898605347,TRUE,"ATLANTIC HIGHLANDS",16,13,8,8
12,"Populus and Carpinus stand","Allegheny National Forest, FS 132 0.2 mi S of jct w/ Loleta Rd. in Loleta, W-facing slopes above Millstone Creek",1157.77001953125,10.1899995803833,14.2200002670288,8.15999984741211,113.81559753418,237.069898605347,TRUE,"ATLANTIC HIGHLANDS",21,17,11,7
13,"Boulder field  with mixed hardwoods (Acer, Betula) and spruce (Picea)","Clear Creek State Park, Phyllis Run 0.25 to 0.75 mi N of confluence w/ Clear Creek, Phyllis Run Trail",1158.80004882812,9.9399995803833,14.0200004577637,8.10000038146973,116.10062122345,240.318907737732,TRUE,"ATLANTIC HIGHLANDS",44,20,18,5
14,"Rocky hardwood (Acer, Quercus) forest","Clear Creek State Forest, Corbet Rd. 0.5 mi S of jct w/ PA 949, along Trap Run",1162.42004394531,9.76000022888184,13.8599996566772,8.01000022888184,115.855179309845,240.142369270325,TRUE,"ATLANTIC HIGHLANDS",20,5,4,1
15,"Massive sandstone outcrops in mixed hardwood forest (Acer, Betula, Quercus)","Clear Creek State Forest, Beartown Rocks, W of Corbet Rd.",1161.97998046875,8.81999969482422,13.0900001525879,7.67000007629395,115.856623649597,239.867684364319,TRUE,"ATLANTIC HIGHLANDS",30,12,16,8
16,"Mixed hardwoods (Betula, Acer, Fagus) and hemlock (Tsuga) stand","Allegheny National Forest, FR 131 1.25 mi SW of jct w/ FR 228, N slopes above confluence of Muddy Fork and Millstone Creek",1157.26000976562,10,13.9899997711182,7.98000001907349,113.765022754669,237.107583999634,TRUE,"ATLANTIC HIGHLANDS",27,16,7,3
